Sort,Dates,"Average Number of Operators, Mon-Fri, (7:00AM-3:00PM) ","Average Number of Operators, Mon-Fri, (3:00PM-11:00PM) ","Average Number of Operators, Mon-Fri, (11:00PM-7:00AM) ","Average Number of Operators, Sat-Sun, (7:00AM-3:00PM) ","Average Number of Operators, Sat-Sun, (3:00PM-11:00PM) ","Average Number of Operators, Sat-Sun, (11:00PM-7:00AM) ",Call Volume (7:00AM-3:00PM) ,Call Volume (3:00PM-11:00PM) ,Call Volume (11:00PM-7:00AM) ,Efficiency (7:00AM-3:00PM) ,Efficiency (3:00PM-11:00PM) ,Efficiency (11:00PM-7:00AM) ,Utilization (7:00AM-3:00PM) ,Utilization (3:00PM-11:00PM) ,Utilization (11:00PM-7:00AM) ,Abandoned (7:00AM-3:00PM) ,Abandoned (3:00PM-11:00PM) ,Abandoned (11:00PM-7:00AM) ,Average Wait Time (seconds): 7:00AM-3:00PM,Average Wait Time (seconds): 3:00PM-11:00PM,Average Wait Time (seconds): 11:00PM-7:00AM
39,01/01/12 - 01/08/12,22,8,2,13,7,5,27170,17440,7103,92%,85%,73%,70%,67%,51%,9%,17%,27%,19,32,169
40,01/09/12 - 01/15/12,24,8,2,12,9,1,24406,15779,3577,93%,83%,91%,70%,72%,47%,8%,17%,10%,12,32,9
41,01/16/12 - 01/22/12,24,9,2,13,9,1,24127,16719,3401,91%,82%,91%,70%,68%,44%,10%,18%,10%,20,34,7
42,1/23/12-1/29/12,22,9,2,16,9,2,23187,15353,3587,92%,88%,94%,68%,68%,42%,9%,14%,7%,19,21,4
43,1/30/12-2/5/12,23,9,2,14,6,2,24809,16477,3511,90%,86%,95%,72%,67%,38%,13%,16%,6%,21,21,4
44,2/6/12-2/12/12,23,9,2,12,7,1,23568,15665,3252,95%,89%,94%,84%,82%,42%,6%,13%,6%,6,19,4
45,2/13/12-2/19/12,25,9,1,14,8,1,25060,16979,3322,95%,93%,92%,69%,67%,39%,5%,8%,10%,4,6,8
46,2/20/12-2/26/12,24,10,2,16,7,1,24350,16718,3622,94%,94%,92%,68%,65%,40%,7%,8%,10%,9,7,7
47,2/27/12-3/4/12,22,11,1,11,5,2,23695,16227,3389,88%,89%,94%,73%,68%,39%,11%,12%,7%,24,16,5
48,3/5/12-3/11/12,24,9,3,12,9,3,25318,18055,3827,91%,91%,95%,72%,70%,40%,10%,11%,6%,20,15,3
49,3/12/12-3/18/12,24,9,3,15,9,1,25053,18651,4468,91%,88%,95%,71%,72%,39%,9%,13%,6%,20,21,3
50,3/19/12-3/25/12,26,10,3,16,8,1,26092,19385,4014,93%,91%,95%,71%,69%,44%,9%,10%,6%,18,13,4
51,3/26/12-4/1/12,25,11,3,15,7,3,25077,17836,3423,94%,93%,96%,69%,66%,36%,6%,9%,5%,8,9,3
52,4/2/12-4/8/12,24,9,3,15,7,2,24215,17111,3509,91%,91%,93%,68%,67%,36%,9%,10%,7%,17,12,4
53,4/9/12-4/15/12,25,9,2,17,8,2,22518,18111,3667,92%,92%,95%,69%,69%,38%,9%,10%,6%,19,12,4
54,4/16/12-4/22/12,26,9,3,15,9,3,24499,17783,3636,85%,90%,96%,71%,69%,38%,14%,11%,5%,33,18,3
55,4/23/12-4/29/12,25,10,3,15,9,2,24117,18306,3513,91%,94%,96%,71%,66%,36%,11%,6%,5%,22,6,2
56,4/30/12-5/6/12,26,10,2,17,9,2,25785,19137,4044,92%,93%,93%,72%,66%,40%,9%,8%,9%,16,7,7
57,5/7/12-5/13/12,26,9,2,17,6,2,25029,17996,3892,91%,90%,95%,70%,69%,42%,10%,11%,6%,18,14,4
58,5/14/12-5/20/12,29,13,2,34,24,4,27896,21921,4255,94%,94%,94%,62%,60%,42%,7%,6%,0.07%,13,7,7
59,5/21/12-5/27/12,29,13,3,16,9,3,28560,21524,4231,96%,94%,93%,70%,68%,44%,5%,6%,0.08%,4,4,6
60,5/28/12-6/3/12,26,10,4,14,8,3,25664,19168,4308,92%,92%,92%,68%,69%,45%,9%,10%,0.09%,16,11,7
